X,Y,PROFONDEUR
2507901.7,1128111.8,200
2507905.63,1128116.45,200
2507906.64,1128122.4,200
2508096.75,1128203.02,120
2508089.72,1128204.81,120
2498678.36,1115987.72,152
2504795.66,1121508.21,120
2504712.94,1121581.77,120
2504737.28,1121556.36,120
2504859.26,1121436.25,120
2493351.5,1113363.15,125
2493354.56,1113357.96,105
2493359.98,1113349.41,105
2493362.88,1113344.22,105
2508855.48,1123018.5,85
2508861.21,1123016.71,85
2508857.27,1123024.23,85
2503453.88,1117494.39,110
2503458.45,1117490.5,110
2504405.88,1120493.3,135
2494128.98,1119332.92,
2494134.74,1119338.68,
2494146.15,1119350.2,
2494151.81,1119355.97,
2494157.47,1119361.73,
2498049.96,1120087.98,150
2496757.23,1115328.32,
2502201.51,1113796.83,
2502214.54,1113793.1,
2502221.45,1113791.78,
2502228.28,1113790.31,
2502225.41,1113786.58,
2502221.73,1113779.84,
2502213.85,1113779.44,
2502209.5,1113773,
2502202.44,1113771.37,
2502205.62,1113779.83,
2502209.97,1113786.27,
2502190.87,1113783.24,
2502195.3,1113795.12,
2502184.2,1113773,
2502191.96,1113770.67,
2502204.84,1113765.32,
2502208.02,1113759.03,
2502204.69,1113753.36,
2502200.26,1113746.69,
2502192.42,1113749.72,
2502184.82,1113752.59,
2502190.72,1113757.32,
2502196.77,1113764.15,
2502218.35,1113786.27,
2502197.31,1113756.31,
2508948.93,1120567.19,
2508957.35,1120563.99,
2508945.07,1120553.23,
2508953.9,1120549.44,
2489119.32,1111376.84,54
2489121.33,1111367.49,54
2489128.93,1111368.21,54
2494539.73,1120071.15,
2494545.54,1120068.79,
2494551.09,1120066.43,
2494556.65,1120064.13,
2503681.57,1120498.13,
2505450.79,1134023.89,137
2505449.2,1134033.92,137
2489970.45,1115695,112
2505743.65,1124984.44,160
2505747.26,1124982.65,160
2505754.73,1124978.92,160
2505760.55,1124976.02,160
2505740.66,1124978.44,160
2505755.43,1124972.04,160
2505762.04,1124967.8,160
2494999.24,1118417.81,112
2494995.3,1118416.66,112
2500121.17,1126500.49,94
2500119.38,1126493.68,94
2505896.57,1123492.02,100
2505896,1123483.5,100
2505900.6,1123476.79,100
2498043.69,1120087.42,50
2489903.54,1116232.95,120
2498886.32,1116778.33,244
2498882.44,1116784.13,244
2498876.04,1116786.87,244
2498876.84,1116779.98,244
2488581.07,1117129.64,110
2488587.1,1117128.5,110
2488595.32,1117125.37,110
2488603.17,1117125.51,110
2504417.07,1121532.82,170
2487115.19,1113084.64,
2503666.92,1118191.12,133
2503672.3,1118185.29,133
2499067.37,1121484.2,150
2499083.59,1121478.75,150
2498056.84,1116748.53,150
2498067.1,1116753.92,150
2498073,1116757.08,150
2505862.61,1122574.25,160
2505868.36,1122573.68,160
2505865.43,1122578.76,160
2505868.3,1122583.45,160
2505871.26,1122578.39,160
2505874.12,1122583.04,160
2505871.18,1122588.13,160
2505877.02,1122587.77,160
2505874.08,1122592.82,160
2505879.93,1122592.44,160
2505885.09,1122590.41,160
2505876.97,1122597.49,160
2504426.17,1122019.27,120
2504431.05,1122009.63,120
2492182.64,1116682.19,170
2501672.7,1125632.08,135
2501668.32,1125627.52,135
2510008.26,1118825.04,90
2510011.37,1118819.33,90
2504076.36,1115612.02,160
2507815.43,1121649.09,190
2507819.27,1121656.13,190
2507808.61,1121653.27,190
2505844.34,1124064.11,120
2505842.88,1124060.17,120
2506851.37,1123976.3,135
2506856.53,1123975.86,135
2506097.72,1125451.65,116
2506088.71,1125454.87,116
2507822.68,1121541.93,120
2507828.24,1121539.86,120
2499713.51,1117769.46,125
2499714.36,1117759.38,125
2499714.77,1117754.31,125
2499715.19,1117749.22,125
