,X,Y,PROFONDEUR,lon,lat
1860,2499216.31,1119802.4,304.0,6.132412514593871,46.22210137373628
1861,2499211.16,1119807.35,304.0,6.132344709389677,46.22214512340563
1862,2499206.38,1119802.0,304.0,6.132283924474872,46.22209628664835
1863,2499211.56,1119797.08,304.0,6.132352111935151,46.222052811345876
1864,2499229.1,1119793.42,304.0,6.132580192189188,46.22202252248471
1865,2499220.94,1119795.12,304.0,6.132474084775613,46.22203658918826
1866,2499216.27,1119789.9,304.0,6.132414697193466,46.22198893826481
1867,2499224.43,1119788.2,304.0,6.132520804529505,46.22197487161708
1868,2499219.76,1119782.98,304.0,6.132461416973813,46.22192722071831
1869,2499211.59,1119784.68,304.0,6.132355180132053,46.2219412858104
1870,2499202.47,1119786.91,304.0,6.132236518287509,46.22195997531535
1871,2499201.59,1119796.65,304.0,6.1322230100856565,46.222047448358474
1872,2499215.09,1119777.76,304.0,6.1324020295221295,46.22187956978839
1873,2499210.42,1119772.54,304.0,6.1323426421744465,46.22183191882737
1874,2499206.93,1119779.46,304.0,6.132295922341173,46.22189363632452
1875,2499196.82,1119791.31,304.0,6.132162352811402,46.22199870297954
1876,2499192.03,1119785.95,304.0,6.132101440801774,46.221949774680766
1877,2499197.5,1119781.36,304.0,6.132173314818841,46.22190931112793
1878,2499187.32,1119780.69,304.0,6.132041543953391,46.22190175778643
1879,2499192.75,1119776.03,304.0,6.1321129147479825,46.22186065866643
1880,2499202.26,1119774.24,304.0,6.132236535071022,46.221845985307624
1881,2499205.39,1119767.36,304.0,6.132278581302965,46.22178457361234
1882,2499186.12,1119773.49,304.0,6.132027550167232,46.221836818391544
1883,2499198.32,1119765.98,304.0,6.132187264435792,46.22177110091609
1884,2499191.22,1119766.21,304.0,6.132095210902206,46.22177210456053
1885,2498224.95,1118886.19,3.0,6.119766029991401,46.2137112652531
1886,2498228.88,1118879.15,3.0,6.119818483966955,46.21364854026693
1887,2498221.91,1118875.31,3.0,6.119729016083008,46.2136129465917
1888,2498215.16,1118871.31,3.0,6.11964243360643,46.213575947070076
1889,2498219.06,1118864.23,3.0,6.119694507631236,46.21351285782544
1890,2498225.71,1118868.3,3.0,6.1197797791443795,46.213550471767526
1891,2498232.79,1118872.17,3.0,6.119870665608723,46.21358635188817
1892,2498230.74,1118855.43,3.0,6.119847756482182,46.213435476390536
1893,2498223.0,1118857.25,3.0,6.119747077972747,46.2134506740472
1894,2498216.02,1118853.45,3.0,6.119657472172181,46.213415438574465
1895,2498212.08,1118860.39,3.0,6.119604910488613,46.213477262537715
1896,2498209.97,1118853.22,3.0,6.1195791369664665,46.213412453636884
1897,2498238.53,1118863.23,3.0,6.119946984617855,46.21350681167513
1898,2498245.36,1118859.12,3.0,6.120036372377417,46.21347087905202
1899,2498226.92,1118848.46,3.0,6.119799783875473,46.213372207478386
1900,2498207.16,1118842.29,3.0,6.119545114441951,46.21331372003332
1901,2498199.33,1118837.74,3.0,6.119444659840709,46.213271609908716
1902,2498196.18,1118845.1,3.0,6.119402241845088,46.213337331052415
1903,2498203.43,1118830.81,3.0,6.119499292320041,46.21320990019737
1904,2498207.5,1118823.93,3.0,6.119553525081327,46.21314863563266
1905,2498211.28,1118817.5,3.0,6.119603902256964,46.2130913745711
1906,2498214.64,1118811.86,3.0,6.119648665397329,46.21304115540261
1907,2498217.95,1118806.31,3.0,6.119692761014343,46.212991738134356
1908,2498213.94,1118846.33,3.0,6.119632076396502,46.21335108394566
1909,2498202.99,1118849.18,3.0,6.119489583699823,46.21337505939181
1910,2496270.7,1119604.55,,6.094286533942968,46.21987363194
1911,2496263.16,1119607.18,,6.094188247801007,46.21989612305967
1912,2496255.62,1119609.8,,6.094089963801788,46.21991852415107
1913,2496249.18,1119615.59,,6.0940052281878065,46.21996960685694
1914,2496252.99,1119602.26,,6.0940575618840445,46.21985030124802
1915,2496260.53,1119599.63,,6.094155847997294,46.21982781024206
1916,2496268.07,1119597.01,,6.0942541318055685,46.219805409093475
1917,2496237.73,1119603.35,,6.093859584587777,46.2198577490516
1918,2496235.1,1119595.81,,6.093827182995009,46.219789526082586
1919,2496242.82,1119597.35,,6.0939268739628405,46.219804569228046
1920,2496250.36,1119594.72,,6.0940251600475515,46.21978207833586
1921,2496257.91,1119592.09,,6.094123575628022,46.21975958890189
1922,2496265.45,1119589.47,,6.094221859326398,46.21973718778145
1923,2496262.82,1119581.92,,6.094189459575172,46.219668874973934
1924,2496260.2,1119574.38,,6.094157187258074,46.219600653643845
1925,2496252.65,1119577.01,,6.094058771978882,46.21962314310687
1926,2496255.28,1119584.55,,6.0940911737628225,46.21969136600892
1927,2496247.74,1119587.18,,6.093992887869223,46.21971385695845
1928,2496240.2,1119589.8,,6.093894604118676,46.219736257879624
1929,2496232.47,1119588.27,,6.093794781483495,46.21972130310447
1930,2496237.57,1119582.26,,6.09386220255438,46.21966803492104
1931,2496245.11,1119579.64,,6.093960486195076,46.21964563402811
1932,2496229.85,1119580.72,,6.0937625118545125,46.21965299171859
1933,2496234.94,1119574.72,,6.093829801071345,46.21959981195333
1934,2496224.78,1119569.81,,6.093699243519515,46.2195540812144
1935,2496242.49,1119572.09,,6.093928216403019,46.2195773226898
1936,2496250.03,1119569.47,,6.094026499852719,46.21955492173954
1937,2496257.57,1119566.84,,6.094124785445422,46.219532430761
1938,2496254.94,1119559.3,,6.094092383714032,46.21946420786906
